"","common_name","phenophase_description","mean_onset"
"1","Goodding's willow","Open flowers",89.5
"2","Goodding's willow","Ripe fruits",147.833333333333
"3","cardinalflower","Open flowers",201.5
"4","cardinalflower","Ripe fruits",264.105263157895
"5","common buttonbush","Open flowers",169.853658536585
"6","common buttonbush","Ripe fruits",215.3
"7","common sunflower","Open flowers",188.952380952381
"8","common sunflower","Ripe fruits",233.352941176471
"9","eastern purple coneflower","Open flowers",170.5875
"10","eastern purple coneflower","Ripe fruits",227.018181818182
"11","silver maple","Open flowers",96.895652173913
"12","silver maple","Ripe fruits",141.042553191489
"13","swamp milkweed","Open flowers",176.692307692308
"14","swamp milkweed","Ripe fruits",246.939393939394
"15","wild bergamot","Open flowers",188.758620689655
"16","wild bergamot","Ripe fruits",226.658536585366
